Timestamp,CI,II,PI,ADI,Robot_X,Robot_Y,Robot_Theta
1740559530.0709999,3.754949677904719e-18,1.0781686949946005e-150,2.9175573765892073e-06,1.9377692530083965e-09,0.0,0.0,0.0
1740559530.3212662,3.754949677904719e-18,1.0781686949946005e-150,2.9175573765892073e-06,1.9377692530083965e-09,0.0,0.0,0.0
1740559530.5931652,3.754949677904719e-18,1.0781686949946005e-150,2.9175573765892073e-06,1.9377692530083965e-09,0.0,0.0,0.0
1740559530.904338,3.754949677904719e-18,1.0781686949946005e-150,2.9175573765892073e-06,1.9377692530083965e-09,0.0,0.0,0.0
1740559531.0952334,3.754949677904719e-18,1.0781686949946005e-150,2.9175573765892073e-06,1.9377692530083965e-09,0.0,0.0,0.0
1740559531.6034226,3.754949677904719e-18,1.0781686949946005e-150,2.9175573765892073e-06,1.9377692530083965e-09,0.0,0.0,0.0
1740559531.81562,3.754949677904719e-18,1.0781686949946005e-150,2.9175573765892073e-06,1.9377692530083965e-09,0.0,0.0,0.0
1740559532.164251,3.754949677904719e-18,1.0781686949946005e-150,2.9175573765892073e-06,1.9377692530083965e-09,0.0,0.0,0.0
1740559532.3225844,6.225872415550956e-18,1.0222152141125004e-127,3.3230668295283333e-06,2.495169816976583e-09,0.017306484710893244,0.9282157066942247,1.4826656479986953
1740559532.4704182,6.218310653146152e-18,1.018678615283178e-127,3.322004088200591e-06,2.4936540764801665e-09,0.01724139724193563,0.9281850539828533,1.4828529557849712
1740559532.635409,6.211300361836625e-18,1.0153046267440028e-127,3.321018318347118e-06,2.4922480538334512e-09,0.017180795321998232,0.9281548208159678,1.4830270220292296
1740559532.8281164,6.202334487355409e-18,1.0100537850212059e-127,3.3197565341164705e-06,2.4904486518206735e-09,0.017101410869408085,0.9280995530377907,1.4832497125788577
1740559533.0533352,6.192917436154251e-18,1.0050555455924056e-127,3.318430646369479e-06,2.488557300154901e-09,0.017018847483759814,0.9280501362578746,1.4834840870089943
