Timestamp,CI,II,PI,ADI,Robot_X,Robot_Y,Robot_Theta
1742114719.1651518,1.0576828103027358e-15,0.0,1.2686640865815778e-05,3.2522035765042996e-08,-0.05498461037808511,0.6936212269447806,0.04830251454742926
1742114719.2698917,9.924476632071592e-16,0.0,1.243317781684882e-05,3.150313735498671e-08,-0.05498461037808511,0.6936212269447806,0.04829440831573984
1742114719.3645692,1.4168423768180993e-15,0.0,1.3657501768067247e-05,3.7640966735966005e-08,-0.05498461037808511,0.6936212269447806,0.04828725575836672
1742114719.464745,1.2360824540313734e-15,0.0,1.3174883101916197e-05,3.5157964304427147e-08,-0.05500989155903824,0.6936200051697883,0.04830597161682622
1742114719.5703092,1.8643679902527703e-15,0.0,1.4682655800908837e-05,4.317832778434999e-08,-0.05498461039672975,0.6936212273305369,0.04828725575836672
1742114719.670042,1.8643679902527703e-15,0.0,1.4682655800908837e-05,4.317832778434999e-08,-0.05498461039672975,0.6936212273305369,0.048309547895512776
1742114719.7646425,1.5288199786706178e-15,0.0,1.3934671376175253e-05,3.910012760427538e-08,-0.054984610386682675,0.6936212271225859,0.048293097013554664
1742114719.8646214,1.2943655979070388e-15,0.0,1.3335753767477134e-05,3.597729280959087e-08,-0.054984610386682675,0.6936212271225859,0.048305852407536765
1742114719.9645388,1.3881075348755081e-15,0.0,1.358383284412368e-05,3.725731518608806e-08,-0.055009891549360646,0.6936200049693646,0.04830322980316653
1742114720.0646713,8.234970607032637e-16,0.0,1.1836660270583942e-05,2.869663849135058e-08,-0.05498461038159519,0.6936212270171005,0.04830322980316653
1742114720.164786,1.4242477904651534e-15,0.0,1.3676263365843437e-05,3.7739207602507414e-08,-0.05498461038159519,0.6936212270171005,0.048286540502629524
1742114720.2712185,1.4235856306553925e-15,0.0,1.367458641181885e-05,3.7730433745921774e-08,-0.05500989155561342,0.6936200050989578,0.048283441061101176
1742114720.3646908,3.4910835005935584e-15,0.0,1.731690087973841e-05,5.9085391600577195e-08,-0.05500989155372338,0.6936200050597838,0.048286540502629524
1742114720.4648201,3.492685883921182e-15,0.0,1.73189846814956e-05,5.909894993924327e-08,-0.054984610381367816,0.6936212270125877,0.04830418347748297
1742114720.564673,2.4632181135917553e-15,0.0,1.5799529741797594e-05,4.9630818183783304e-08,-0.054984610381367816,0.6936212270125877,0.048306448453984324
1742114720.6648192,3.0009154940572334e-15,0.0,1.6642721300758872e-05,5.4780612392134076e-08,-0.0550098915489059,0.6936200049603327,0.04829059361847423
1742114720.76475,2.975979294023744e-15,0.0,1.6606447735753112e-05,5.455253700813322e-08,-0.05498461037625191,0.6936212269071076,0.048298342222294885
1742114720.8647954,2.975979294023744e-15,0.0,1.6606447735753112e-05,5.455253700813322e-08,-0.05498461037625191,0.6936212269071076,0.04830442189606195
1742114720.9643428,3.329469866865357e-15,0.0,1.7103555491765686e-05,5.770155861729696e-08,-0.054984610379534615,0.6936212269749138,0.04830978631409172
1742114721.0646074,3.048110820802994e-15,0.0,1.6710652459005475e-05,5.5209698611774674e-08,-0.055009891528357,0.6936200045353962,0.04829989194305923
