Timestamp,CI,II,PI,ADI,Robot_X,Robot_Y,Robot_Theta
1742115109.5915604,1.293359682264319e-49,0.0,2.454617050608273e-14,3.596331022395351e-25,-0.07613777871173966,0.7933612494382256,0.12057243360669254
1742115109.693424,1.9098837557043442e-49,0.0,2.7102825729963476e-14,4.370221682826107e-25,-0.07613777871173966,0.7933612494382256,0.12058244718701484
1742115109.7910511,7.498240046374199e-50,0.0,2.1376881297412138e-14,2.7382914465728806e-25,-0.07613777871173966,0.7933612494382256,0.12059544099957581
1742115109.8944468,7.498240046374199e-50,0.0,2.1376881297412138e-14,2.7382914465728806e-25,-0.07613777871173966,0.7933612494382256,0.12058208955914616
1742115109.991887,1.9310458227708266e-50,0.0,1.5133985632655907e-14,1.389620747819644e-25,-0.07611265181608928,0.7933642940989234,0.12059281839520583
1742115110.0909197,2.3911117515014916e-51,0.0,8.902739932927875e-15,4.8898995403806524e-26,-0.07611265179629356,0.7933642939356798,0.12059496416241755
1742115110.1922877,3.251780166238496e-50,0.0,1.7285561827484626e-14,1.8032692994221622e-25,-0.07613777866691862,0.7933612490682993,0.12055681718976126
1742115110.2909234,3.2545423504133484e-50,0.0,1.7289359085464234e-14,1.8040350191759994e-25,-0.07611265171971127,0.7933642933036555,0.1205605126777374
1742115110.3916688,1.9106695555880838e-50,0.0,1.509360937899813e-14,1.382269711593249e-25,-0.07611265171971127,0.7933642933036555,0.12059651388318175
1742115110.4911864,5.057915202666451e-50,0.0,1.9343606220063163e-14,2.24898092536741e-25,-0.07611265171971127,0.7933642933036555,0.12056623472363587
1742115110.591234,5.244867839178088e-50,0.0,1.9520642847262386e-14,2.2901676443391844e-25,-0.07613777867908311,0.7933612491686421,0.12056718839795211
1742115110.6910663,2.079920198037086e-52,0.0,4.7843403050001624e-15,1.4421928435674218e-26,-0.07613777867908311,0.7933612491686421,0.1205868579307282
1742115110.7995303,2.079920198037086e-52,0.0,4.7843403050001624e-15,1.4421928435674218e-26,-0.07613777867908311,0.7933612491686421,0.1205916263023103
1742115110.9040456,6.969938996523076e-49,0.0,3.768384604471959e-14,8.34861605089315e-25,-0.07613777867908311,0.7933612491686421,0.1205613471427643
1742115110.9913216,3.700586118540406e-51,0.0,9.948433842780582e-15,6.08324429769215e-26,-0.07613777867908311,0.7933612491686421,0.12056575788647754
1742115111.0909138,2.2837721081244576e-50,0.0,1.580026512652117e-14,1.5112154406716659e-25,-0.07613777867908311,0.7933612491686421,0.12057755960614307
1742115111.191034,2.8889791266750294e-51,0.0,9.338943917495023e-15,5.374922442859087e-26,-0.07613777867908311,0.7933612491686421,0.12058626188428023
1742115111.2909174,2.3176344987093643e-50,0.0,1.5856923392897393e-14,1.5223779092949832e-25,-0.07613777867908311,0.7933612491686421,0.12059627546460247
1742115111.3907337,9.27476206490071e-51,0.0,1.2561799164101818e-14,9.630556611588299e-26,-0.07613777867908311,0.7933612491686421,0.12059019579083557
1742115111.4990299,9.27476206490071e-51,0.0,1.2561799164101818e-14,9.630556611588299e-26,-0.07613777867908311,0.7933612491686421,0.12057970537335506
1742115111.59124,2.0033341502362602e-49,0.0,2.743918451611051e-14,4.475862095994759e-25,-0.07613777867908311,0.7933612491686421,0.12060283197552796
1742115111.6912994,1.0860886461339246e-49,0.0,2.348409233252259e-14,3.2955859056227386e-25,-0.07613777867908311,0.7933612491686421,0.12057457937390444
1742115111.792524,1.6820620169614412e-49,0.0,2.624652218575953e-14,4.1012949381401984e-25,-0.07613777870412264,0.7933612493753248,0.12056683077008361
1742115111.8908443,8.455870196685684e-50,0.0,2.2033901274618896e-14,2.9078978999761466e-25,-0.07613777870412264,0.7933612493753248,0.12058447374493714
1742115111.9911633,3.055039865706773e-50,0.0,1.70094265764452e-14,1.7478672334324404e-25,-0.07613777870412264,0.7933612493753248,0.12055562509686593
1742115112.0912535,3.055039865706773e-50,0.0,1.70094265764452e-14,1.7478672334324404e-25,-0.07613777870412264,0.7933612493753248,0.12057243360669254
1742115112.1912405,3.592762512765852e-50,0.0,1.7726187858399104e-14,1.895458391198776e-25,-0.07613777870412264,0.7933612493753248,0.12057374490887743
1742115112.2917836,1.1505473428414287e-49,0.0,2.3829935366905136e-14,3.3919719085532368e-25,-0.07613777873460492,0.7933612496269333,0.120553717748233
1742115112.393247,4.057462794036836e-51,0.0,1.0181235776052555e-14,6.369821656873006e-26,-0.07613777873460492,0.7933612496269333,0.12056957258374335
1742115112.490904,1.6171559844646738e-49,0.0,2.598405712282369e-14,4.021387800827811e-25,-0.07613777873460492,0.7933612496269333,0.12055276407391674
1742115112.5927095,8.769221936317648e-50,0.0,2.2240466995597452e-14,2.9612872093597487e-25,-0.07613777873460492,0.7933612496269333,0.12054120077283008
1742115112.691179,7.173476835935722e-50,0.0,2.1133549561762122e-14,2.6783347132006714e-25,-0.07613777873460492,0.7933612496269333,0.12054871095807183
1742115112.7930074,1.6674711478575624e-49,0.0,2.6186974529063638e-14,4.0834680699836045e-25,-0.07613777873460492,0.7933612496269333,0.12055967821271055
1742115112.8918085,1.3294060489638326e-49,0.0,2.4720004240932162e-14,3.646102095339395e-25,-0.07611265171719594,0.7933642932826874,0.12054358495862126
1742115112.9922776,1.328284712979618e-49,0.0,2.4714731437454188e-14,3.6445640520913033e-25,-0.07613777873170591,0.793361249602972,0.12053047193677069
1742115113.0914173,2.2558237187567716e-50,0.0,1.5756849407451148e-14,1.5019399850715645e-25,-0.07613777873170591,0.793361249602972,0.12053392900616744
1742115113.1912358,8.045114259489845e-50,0.0,2.177182147496587e-14,2.8363910625105706e-25,-0.07613777873170591,0.793361249602972,0.1205369092384064
1742115113.2927709,4.801544152461293e-50,0.0,1.909335952154193e-14,2.191242604656384e-25,-0.07613777873170591,0.793361249602972,0.12053893579632877
1742115113.3916419,2.5747560098158592e-51,0.0,9.075835125091508e-15,5.074205366178885e-26,-0.07613777873170591,0.793361249602972,0.12054310812146285
1742115113.4916778,2.5747560098158592e-51,0.0,9.075835125091508e-15,5.074205366178885e-26,-0.07613777873170591,0.793361249602972,0.12053297533185116
1742115113.5925822,2.988171617065045e-50,0.0,1.6931337541479896e-14,1.7286328751545381e-25,-0.07613777873170591,0.793361249602972,0.12054024709851388
1742115113.6913607,2.0533718816053227e-50,0.0,1.5393985000776116e-14,1.4329591346599257e-25,-0.07616290578630469,0.7933582062542452,0.12052296175152888
1742115113.793048,6.716264952880334e-50,0.0,2.0805994780565087e-14,2.5915757663785048e-25,-0.07613777874712468,0.7933612497302782,0.1205592013755523
1742115113.891378,2.0554239839608036e-49,0.0,2.7650959834456676e-14,4.533678400549385e-25,-0.07613777874712468,0.7933612497302782,0.12053392900616744
1742115113.993643,2.0554239839608036e-49,0.0,2.7650959834456676e-14,4.533678400549385e-25,-0.07613777874712468,0.7933612497302782,0.12054131998211957
1742115114.0923595,2.5665527891981104e-51,0.0,9.072575541811292e-15,5.0661156611333995e-26,-0.07613777874712468,0.7933612497302782,0.12052606119305724
1742115114.198115,1.9390065540800054e-51,0.0,8.452562260570541e-15,4.403415213308876e-26,-0.07613777874712468,0.7933612497302782,0.12054549230725405
1742115114.2928205,1.6833799831260654e-49,0.0,2.6279924580809886e-14,4.102901391851948e-25,-0.07613777874712468,0.7933612497302782,0.12053941263348684
1742115114.391251,6.223234245624405e-49,0.0,3.66476479957784e-14,7.888747838297536e-25,-0.07613777874712468,0.7933612497302782,0.12054227365643626
